1382 2856
2 741 1
2 742 1
2 743 1
2 744 1
2 745 1
2 746 1
2 747 1
2 748 1
2 749 1
2 750 1
2 751 1
2 752 1
2 753 1
2 754 1
2 755 1
2 756 1
2 757 1
2 758 1
2 759 1
2 760 1
2 761 1
2 762 1
2 763 1
2 764 1
2 765 1
2 766 1
2 767 1
2 768 1
2 769 1
2 770 1
2 771 1
2 772 1
2 773 1
2 774 1
2 775 1
2 776 1
2 777 1
2 778 1
2 779 1
2 780 1
2 781 1
2 782 1
2 783 1
2 784 1
2 785 1
2 786 1
2 787 1
2 788 1
2 789 1
2 790 1
2 791 1
2 792 1
2 793 1
2 794 1
2 795 1
2 796 1
2 797 1
2 798 1
2 799 1
2 800 1
2 801 1
2 802 1
2 803 1
2 804 1
2 805 1
2 806 1
2 807 1
2 808 1
2 809 1
2 810 1
2 811 1
2 812 1
2 813 1
2 814 1
2 815 1
2 816 1
2 817 1
2 818 1
2 819 1
2 820 1
2 821 1
2 822 1
2 823 1
2 824 1
2 825 1
2 826 1
2 827 1
2 828 1
2 829 1
2 830 1
2 831 1
3 832 1
3 833 1
3 834 1
3 835 1
4 836 1
4 837 1
4 838 1
4 839 1
4 840 1
4 841 1
4 842 1
4 843 1
4 844 1
4 845 1
4 846 1
4 847 1
4 848 1
4 849 1
4 850 1
4 851 1
4 852 1
4 853 1
4 854 1
4 855 1
4 856 1
4 857 1
5 858 1
6 855 1
7 850 1
8 859 1
9 860 1
10 861 1
11 862 1
12 863 1
12 864 1
12 865 1
12 866 1
12 867 1
12 868 1
12 869 1
12 870 1
13 862 1
14 871 1
14 872 1
14 873 1
15 873 1
16 873 1
17 874 1
18 875 1
19 876 1
19 877 1
19 878 1
19 879 1
19 880 1
20 881 1
21 882 1
22 882 1
23 883 1
23 884 1
24 885 1
25 886 1
26 887 1
27 887 1
28 888 1
29 889 1
30 890 1
31 891 1
32 892 1
33 893 1
34 894 1
35 839 1
35 841 1
36 895 1
37 894 1
38 896 1
39 896 1
39 897 1
39 898 1
39 899 1
39 900 1
39 901 1
39 902 1
39 903 1
40 904 1
41 853 1
42 905 1
42 906 1
43 906 1
43 907 1
44 861 1
45 908 1
46 909 1
47 910 1
47 911 1
48 912 1
48 913 1
49 914 1
50 855 1
50 915 1
51 916 1
52 917 1
53 918 1
53 919 1
53 920 1
53 921 1
53 922 1
53 923 1
54 924 1
55 925 1
56 925 1
56 926 1
56 927 1
56 928 1
57 910 1
58 865 1
58 929 1
58 930 1
58 931 1
58 932 1
58 933 1
58 934 1
58 935 1
58 936 1
58 937 1
58 938 1
58 939 1
58 940 1
58 941 1
59 881 1
59 935 1
59 939 1
60 881 1
60 939 1
61 941 1
62 942 1
63 943 1
64 895 1
64 944 1
64 945 1
64 946 1
64 947 1
64 948 1
65 949 1
66 950 1
67 951 1
68 867 1
69 843 1
69 846 1
69 847 1
69 851 1
70 952 1
71 866 1
72 866 1
73 904 1
74 953 1
75 859 1
75 874 1
76 921 1
76 922 1
76 941 1
76 953 1
76 954 1
76 955 1
76 956 1
77 957 1
78 926 1
79 929 1
79 958 1
80 959 1
80 960 1
81 961 1
81 962 1
81 963 1
81 964 1
81 965 1
81 966 1
82 909 1
83 870 1
84 870 1
84 888 1
84 967 1
85 968 1
86 969 1
87 970 1
88 971 1
89 972 1
89 973 1
89 974 1
89 975 1
90 903 1
90 906 1
90 957 1
90 976 1
90 977 1
90 978 1
90 979 1
90 980 1
91 977 1
91 979 1
91 981 1
92 851 1
93 877 1
94 982 1
95 834 1
96 983 1
97 926 1
98 923 1
99 859 1
99 874 1
100 984 1
101 985 1
102 986 1
103 901 1
103 986 1
104 987 1
105 988 1
106 989 1
106 990 1
107 991 1
108 889 1
108 988 1
108 992 1
109 993 1
110 994 1
110 995 1
110 996 1
110 997 1
110 998 1
110 999 1
111 996 1
112 1000 1
113 1000 1
114 921 1
114 1001 1
114 1002 1
114 1003 1
115 911 1
116 859 1
116 926 1
117 1004 1
117 1005 1
117 1006 1
117 1007 1
117 1008 1
117 1009 1
117 1010 1
117 1011 1
117 1012 1
118 919 1
119 1013 1
119 1014 1
120 1015 1
121 1015 1
121 1016 1
122 1017 1
123 896 1
124 1018 1
125 1019 1
126 1020 1
127 1021 1
128 1022 1
129 1023 1
130 941 1
130 1024 1
130 1025 1
130 1026 1
130 1027 1
130 1028 1
131 1017 1
131 1024 1
131 1029 1
131 1030 1
131 1031 1
132 867 1
133 1020 1
133 1032 1
133 1033 1
133 1034 1
134 1013 1
135 1035 1
136 1035 1
137 1036 1
138 1037 1
139 1038 1
140 1039 1
141 869 1
142 989 1
143 1040 1
144 1041 1
145 961 1
146 1042 1
147 893 1
147 983 1
148 893 1
148 983 1
148 1043 1
148 1044 1
148 1045 1
148 1046 1
148 1047 1
148 1048 1
149 1049 1
150 1050 1
151 984 1
152 1018 1
153 1003 1
154 970 1
154 1020 1
154 1051 1
155 1052 1
156 870 1
157 1030 1
157 1031 1
157 1053 1
157 1054 1
157 1055 1
158 887 1
159 983 1
160 1056 1
161 932 1
161 1038 1
161 1057 1
161 1058 1
161 1059 1
161 1060 1
161 1061 1
162 1038 1
163 978 1
164 870 1
164 1062 1
165 917 1
166 1063 1
167 942 1
168 947 1
169 870 1
169 1064 1
170 1065 1
171 1066 1
172 992 1
173 933 1
173 1067 1
174 1068 1
175 1069 1
176 1053 1
176 1054 1
176 1070 1
176 1071 1
177 1059 1
178 982 1
179 887 1
180 874 1
181 1072 1
182 996 1
183 1073 1
184 1046 1
185 1074 1
186 903 1
186 1063 1
187 874 1
188 853 1
189 1047 1
190 1075 1
191 1076 1
192 957 1
192 1077 1
192 1078 1
192 1079 1
192 1080 1
192 1081 1
193 888 1
194 1082 1
195 1083 1
196 1084 1
197 891 1
198 891 1
199 1085 1
200 1043 1
201 1086 1
201 1087 1
202 903 1
203 1088 1
204 971 1
204 1049 1
204 1076 1
205 1089 1
206 1090 1
207 929 1
208 1056 1
209 1091 1
210 986 1
211 1092 1
212 1056 1
213 845 1
214 1069 1
215 1093 1
216 858 1
216 1069 1
216 1094 1
216 1095 1
216 1096 1
216 1097 1
216 1098 1
217 1099 1
218 1095 1
218 1098 1
218 1099 1
219 1100 1
220 1101 1
221 984 1
221 1101 1
221 1102 1
222 950 1
222 1103 1
222 1104 1
222 1105 1
222 1106 1
222 1107 1
222 1108 1
222 1109 1
222 1110 1
222 1111 1
222 1112 1
222 1113 1
222 1114 1
222 1115 1
222 1116 1
222 1117 1
222 1118 1
223 912 1
223 1119 1
223 1120 1
223 1121 1
224 1122 1
225 837 1
226 870 1
227 863 1
227 870 1
227 1123 1
228 1124 1
229 1125 1
230 1126 1
231 1127 1
232 1056 1
233 1128 1
234 1128 1
235 947 1
236 928 1
237 928 1
238 1129 1
239 1130 1
240 1131 1
241 909 1
242 1132 1
243 1133 1
244 969 1
244 1115 1
244 1134 1
244 1135 1
244 1136 1
245 1004 1
245 1137 1
246 906 1
246 986 1
247 1138 1
247 1139 1
247 1140 1
248 943 1
249 1063 1
249 1141 1
250 1142 1
251 1035 1
251 1143 1
252 874 1
253 1129 1
254 1056 1
255 1144 1
255 1145 1
256 1102 1
257 969 1
258 992 1
259 1146 1
260 1147 1
261 1148 1
262 983 1
263 1149 1
264 945 1
265 1150 1
266 1094 1
266 1113 1
267 1151 1
268 1152 1
269 1153 1
269 1154 1
270 1155 1
271 977 1
271 1071 1
272 1037 1
273 1156 1
274 878 1
275 1157 1
276 877 1
277 942 1
278 1056 1
279 878 1
279 1127 1
279 1158 1
279 1159 1
279 1160 1
279 1161 1
279 1162 1
280 926 1
281 997 1
282 1163 1
283 894 1
284 864 1
285 1082 1
285 1164 1
286 932 1
286 1060 1
287 867 1
288 855 1
289 855 1
290 1165 1
291 867 1
292 1056 1
293 877 1
293 908 1
293 1165 1
293 1166 1
293 1167 1
293 1168 1
293 1169 1
294 1170 1
295 1171 1
296 1079 1
296 1088 1
297 1006 1
298 1172 1
299 938 1
299 1172 1
300 1172 1
301 861 1
301 908 1
302 857 1
303 1086 1
304 881 1
305 935 1
305 938 1
305 939 1
306 854 1
306 909 1
306 1145 1
306 1173 1
307 845 1
307 1144 1
308 874 1
309 1012 1
310 1174 1
311 848 1
312 1175 1
313 992 1
314 1176 1
315 1000 1
315 1177 1
316 1174 1
317 1178 1
317 1179 1
318 902 1
319 1048 1
320 1124 1
321 913 1
322 842 1
323 1132 1
324 1163 1
325 1180 1
326 1131 1
327 1181 1
328 896 1
328 898 1
329 1100 1
330 900 1
331 1079 1
332 967 1
333 870 1
333 1089 1
334 870 1
335 948 1
335 1182 1
335 1183 1
335 1184 1
336 1072 1
336 1153 1
337 871 1
337 982 1
338 835 1
338 871 1
338 877 1
338 1153 1
338 1185 1
338 1186 1
338 1187 1
338 1188 1
338 1189 1
339 898 1
340 845 1
340 856 1
341 992 1
342 992 1
343 1190 1
344 1191 1
345 870 1
345 942 1
345 1131 1
345 1192 1
346 1146 1
346 1193 1
346 1194 1
346 1195 1
346 1196 1
347 1171 1
347 1197 1
347 1198 1
347 1199 1
348 926 1
349 883 1
350 899 1
351 1121 1
352 1200 1
353 960 1
353 1152 1
353 1201 1
353 1202 1
354 1133 1
354 1203 1
354 1204 1
355 1205 1
356 1206 1
356 1207 1
357 993 1
358 845 1
358 854 1
358 910 1
358 911 1
358 993 1
358 1018 1
358 1037 1
358 1208 1
358 1209 1
358 1210 1
358 1211 1
359 1097 1
359 1212 1
360 1048 1
361 1110 1
362 855 1
363 845 1
363 850 1
364 946 1
364 1051 1
364 1150 1
365 892 1
365 940 1
365 1213 1
366 983 1
367 874 1
367 1214 1
368 867 1
369 1082 1
370 918 1
371 1042 1
372 1042 1
372 1215 1
372 1216 1
373 1217 1
373 1218 1
374 1132 1
375 1219 1
376 864 1
377 1113 1
378 891 1
379 919 1
380 1094 1
381 1220 1
382 1221 1
383 917 1
383 989 1
383 1222 1
383 1223 1
383 1224 1
383 1225 1
384 1222 1
385 1223 1
386 914 1
386 985 1
386 1093 1
386 1100 1
386 1174 1
386 1184 1
387 1203 1
388 992 1
389 1067 1
390 1226 1
391 1012 1
392 1227 1
393 1037 1
394 1108 1
394 1228 1
394 1229 1
395 1228 1
396 1230 1
397 1231 1
398 924 1
398 941 1
398 1019 1
398 1232 1
398 1233 1
399 984 1
399 1019 1
399 1163 1
399 1234 1
400 969 1
400 1135 1
401 1063 1
402 877 1
402 1235 1
403 855 1
404 1236 1
405 1237 1
406 882 1
406 886 1
406 904 1
406 1000 1
406 1020 1
406 1236 1
406 1237 1
406 1238 1
406 1239 1
406 1240 1
407 886 1
407 1000 1
407 1241 1
407 1242 1
408 951 1
408 1020 1
408 1149 1
409 882 1
410 984 1
411 926 1
412 1105 1
412 1200 1
412 1243 1
412 1244 1
413 1245 1
413 1246 1
413 1247 1
414 935 1
414 937 1
415 926 1
415 1049 1
415 1214 1
415 1248 1
415 1249 1
415 1250 1
416 1151 1
416 1170 1
416 1180 1
416 1219 1
416 1251 1
416 1252 1
416 1253 1
417 1238 1
417 1239 1
418 1121 1
419 892 1
420 910 1
420 1018 1
421 875 1
422 1254 1
422 1255 1
423 1256 1
424 1256 1
425 1256 1
426 878 1
426 912 1
427 874 1
427 890 1
427 925 1
427 926 1
427 927 1
427 941 1
427 1049 1
427 1066 1
427 1148 1
427 1248 1
427 1250 1
427 1257 1
427 1258 1
427 1259 1
427 1260 1
427 1261 1
427 1262 1
427 1263 1
428 1229 1
429 1125 1
430 1264 1
431 1265 1
432 1266 1
433 1088 1
434 864 1
435 911 1
436 1267 1
437 870 1
437 1268 1
438 992 1
439 1236 1
439 1237 1
440 918 1
441 845 1
441 1094 1
441 1263 1
442 1012 1
443 1016 1
443 1264 1
444 1269 1
445 1056 1
446 909 1
447 909 1
448 909 1
449 925 1
450 1072 1
451 852 1
451 926 1
452 1270 1
453 945 1
454 948 1
454 1271 1
454 1272 1
455 1273 1
456 1221 1
456 1273 1
457 1273 1
458 898 1
459 1012 1
460 1274 1
461 908 1
462 1244 1
463 1219 1
464 893 1
465 893 1
466 893 1
467 1082 1
468 885 1
468 1073 1
468 1140 1
469 860 1
470 943 1
471 1093 1
472 875 1
472 1080 1
473 853 1
474 1020 1
474 1275 1
474 1276 1
475 984 1
476 948 1
476 1050 1
476 1220 1
476 1277 1
476 1278 1
476 1279 1
476 1280 1
476 1281 1
476 1282 1
477 845 1
478 1236 1
478 1241 1
479 984 1
480 1074 1
481 992 1
482 861 1
483 1093 1
483 1219 1
484 1266 1
485 1170 1
486 984 1
487 1283 1
488 860 1
489 984 1
490 1278 1
491 1021 1
492 1263 1
492 1284 1
493 1282 1
494 1282 1
495 881 1
496 1043 1
497 844 1
498 943 1
499 859 1
499 874 1
499 926 1
499 1041 1
499 1118 1
499 1214 1
499 1285 1
499 1286 1
499 1287 1
500 845 1
501 850 1
502 1288 1
503 1289 1
504 1288 1
504 1289 1
504 1290 1
504 1291 1
504 1292 1
505 1175 1
506 946 1
507 947 1
508 917 1
509 1187 1
510 1213 1
511 1192 1
512 1276 1
513 921 1
513 1003 1
514 1052 1
514 1293 1
514 1294 1
515 1295 1
515 1296 1
516 876 1
516 877 1
516 879 1
516 880 1
516 1151 1
516 1215 1
516 1297 1
516 1298 1
516 1299 1
516 1300 1
516 1301 1
517 956 1
517 1130 1
517 1302 1
517 1303 1
518 1266 1
519 928 1
520 1202 1
521 1192 1
522 867 1
523 1304 1
524 986 1
525 903 1
526 1126 1
526 1300 1
527 892 1
528 1037 1
529 892 1
530 857 1
531 1201 1
532 1273 1
533 941 1
533 1025 1
533 1026 1
533 1027 1
533 1028 1
533 1232 1
533 1233 1
533 1305 1
533 1306 1
533 1307 1
534 1308 1
534 1309 1
535 941 1
535 1027 1
535 1029 1
535 1191 1
535 1292 1
535 1310 1
536 1311 1
537 1312 1
538 878 1
538 884 1
538 1035 1
538 1039 1
538 1313 1
539 1045 1
540 1128 1
541 911 1
542 1314 1
543 1045 1
544 909 1
545 1115 1
545 1315 1
545 1316 1
546 867 1
547 867 1
548 1043 1
549 1127 1
550 1317 1
551 862 1
551 883 1
551 891 1
551 952 1
551 1267 1
551 1317 1
551 1318 1
552 922 1
553 1283 1
554 1076 1
555 1050 1
556 1033 1
557 1224 1
558 873 1
559 860 1
560 1201 1
561 1121 1
562 1149 1
563 1319 1
563 1320 1
564 984 1
565 845 1
565 1311 1
566 1311 1
567 1103 1
568 874 1
569 913 1
569 1226 1
569 1321 1
570 866 1
570 868 1
571 881 1
572 872 1
573 898 1
574 941 1
574 1191 1
574 1291 1
574 1292 1
574 1310 1
574 1322 1
574 1323 1
575 1272 1
576 1290 1
577 1269 1
578 1037 1
579 1022 1
579 1090 1
579 1269 1
579 1274 1
579 1298 1
580 854 1
581 1073 1
582 891 1
583 1324 1
584 866 1
585 1325 1
586 950 1
586 1205 1
586 1256 1
587 1077 1
588 1210 1
589 857 1
590 1058 1
591 1018 1
592 1018 1
593 1007 1
594 1083 1
594 1084 1
594 1182 1
594 1183 1
594 1184 1
594 1326 1
594 1327 1
594 1328 1
594 1329 1
595 997 1
596 1175 1
597 859 1
598 1330 1
599 1069 1
600 1047 1
601 1266 1
602 1075 1
602 1138 1
602 1331 1
602 1332 1
603 1269 1
604 1004 1
605 850 1
606 945 1
607 1268 1
608 874 1
609 887 1
610 844 1
611 953 1
612 1020 1
613 1127 1
614 1124 1
615 890 1
615 1250 1
615 1311 1
616 928 1
617 1125 1
618 983 1
619 1121 1
620 1093 1
621 1088 1
622 850 1
623 967 1
624 1333 1
625 1121 1
626 1334 1
627 969 1
628 1067 1
629 1335 1
630 1210 1
631 1037 1
632 1018 1
633 918 1
634 913 1
635 1005 1
635 1008 1
636 1008 1
636 1122 1
637 1336 1
638 894 1
638 955 1
638 1337 1
639 926 1
639 1134 1
640 888 1
641 918 1
642 1076 1
643 938 1
644 1175 1
644 1265 1
644 1336 1
644 1338 1
644 1339 1
645 1244 1
646 914 1
647 1225 1
648 1244 1
649 859 1
650 860 1
651 925 1
651 1333 1
652 1139 1
653 918 1
654 1005 1
654 1123 1
655 1102 1
656 1163 1
657 1244 1
658 1284 1
659 910 1
660 1065 1
661 912 1
661 972 1
661 973 1
661 974 1
661 975 1
661 1065 1
661 1124 1
661 1273 1
661 1340 1
662 837 1
663 845 1
664 943 1
664 1341 1
665 1231 1
665 1342 1
665 1343 1
666 1189 1
666 1344 1
667 845 1
668 1111 1
668 1311 1
669 1318 1
670 1018 1
671 1018 1
672 1067 1
673 1177 1
674 992 1
675 992 1
676 1120 1
677 916 1
678 1147 1
678 1227 1
679 909 1
680 1093 1
681 931 1
682 987 1
682 1085 1
682 1345 1
682 1346 1
683 1128 1
683 1140 1
683 1147 1
683 1345 1
683 1346 1
684 1147 1
685 901 1
686 928 1
687 1347 1
688 1105 1
688 1244 1
688 1347 1
689 1273 1
690 1273 1
691 875 1
692 854 1
692 991 1
692 1014 1
692 1179 1
692 1348 1
692 1349 1
692 1350 1
693 1206 1
694 1326 1
694 1351 1
695 930 1
696 833 1
697 926 1
697 941 1
697 971 1
697 1091 1
697 1207 1
697 1248 1
697 1249 1
697 1255 1
697 1352 1
697 1353 1
697 1354 1
698 1193 1
698 1195 1
698 1196 1
698 1312 1
698 1339 1
698 1355 1
698 1356 1
698 1357 1
698 1358 1
699 883 1
700 984 1
701 984 1
702 1064 1
703 928 1
704 1312 1
704 1359 1
705 1196 1
706 1236 1
707 1360 1
708 1361 1
709 1023 1
710 1361 1
711 999 1
712 842 1
713 891 1
714 1221 1
715 957 1
716 872 1
717 890 1
717 916 1
717 941 1
717 949 1
717 971 1
717 1248 1
717 1250 1
717 1263 1
717 1321 1
717 1362 1
717 1363 1
717 1364 1
718 836 1
719 1151 1
720 1325 1
721 943 1
721 1141 1
721 1266 1
722 1266 1
723 1141 1
724 1000 1
725 1109 1
725 1361 1
725 1365 1
726 1275 1
727 1118 1
728 984 1
729 1211 1
730 1152 1
731 950 1
731 968 1
731 998 1
731 1092 1
731 1094 1
731 1108 1
731 1263 1
731 1366 1
732 1088 1
733 1210 1
733 1211 1
734 1209 1
735 1146 1
736 1052 1
737 1131 1
738 860 1
738 982 1
738 1074 1
738 1125 1
738 1187 1
738 1230 1
739 1132 1
740 1034 1
741 1164 1
741 1247 1
742 1082 1
742 1142 1
742 1247 1
743 928 1
744 1121 1
745 941 1
746 1140 1
746 1346 1
747 1345 1
748 987 1
748 1085 1
748 1140 1
749 871 1
750 984 1
751 1058 1
752 1155 1
753 1102 1
754 1315 1
755 945 1
756 1144 1
757 1201 1
758 832 1
759 1163 1
760 1367 1
760 1368 1
761 986 1
762 894 1
763 917 1
764 1146 1
765 887 1
765 908 1
765 1176 1
765 1369 1
766 1227 1
766 1334 1
766 1348 1
767 1299 1
768 1180 1
769 961 1
769 962 1
769 963 1
769 965 1
769 966 1
769 1325 1
770 850 1
771 1216 1
772 918 1
773 1173 1
774 913 1
775 842 1
776 941 1
776 1291 1
777 941 1
777 1370 1
778 889 1
